,state,label,pred,predbase,target,mae,mse
0,1,0,-0.8730078,-0.8458581,-0.843590152111414,0.029417634,0.0008653972
1,1,0,-0.83785915,-0.8114033,-0.8249435664875593,0.012915611,0.00016681301
2,1,0,-0.819098,-0.7930484,-0.8971898691671552,0.07809186,0.0060983384
3,1,0,-0.8917365,-0.8642545,-0.9657991604008432,0.074062645,0.0054852753
4,1,0,-0.9605746,-0.9320922,-1.1111949599701774,0.15062034,0.022686487
5,1,0,-1.105937,-1.0765343,-1.1386853944063793,0.03274834,0.0010724539
6,1,0,-1.1333332,-1.1039462,-1.195078238254733,0.061745048,0.003812451
7,1,0,-1.1894431,-1.1602778,-1.2483052054340202,0.05886209,0.0034647456
8,1,0,-1.2422853,-1.2135692,-1.254039140770674,0.011753917,0.00013815456
9,1,0,-1.2479696,-1.2193174,-1.1462234046721589,0.1017462,0.010352289
10,1,0,-1.1408415,-1.1114693,-1.0612269725870194,0.07961452,0.006338472
11,1,0,-1.0560651,-1.0267916,-1.1895559544947227,0.13349092,0.017819826
12,1,0,-1.1839547,-1.1547565,-1.2372164470586098,0.053261757,0.0028368148
13,1,0,-1.231286,-1.2024579,-1.0684989587704354,0.16278708,0.026499633
14,1,0,-1.0633287,-1.0340247,-0.9776389958739636,0.08568972,0.007342729
15,1,0,-0.97244024,-0.94382,-1.006499563331225,0.034059286,0.001160035
16,1,0,-1.0013404,-0.9724331,-0.841653542715302,0.15968686,0.025499895
17,1,0,-0.8359113,-0.80949545,-0.8621833205644007,0.026272058,0.00069022103
18,1,0,-0.8565588,-0.8297219,-0.8184747402758159,0.03808403,0.0014503933
19,1,0,-0.81258583,-0.7866845,-0.5885301482950283,0.22405571,0.05020096
20,1,0,-0.5804715,-0.56171083,-0.6930994869784222,0.11262798,0.012685062
21,1,0,-0.68617535,-0.66371346,-0.678653512845746,0.007521808,5.65776e-05
22,1,0,-0.6715865,-0.64959145,-0.784630750884979,0.11304426,0.012779005
23,1,0,-0.77850103,-0.753417,-0.7752435157792039,0.003257513,1.0611391e-05
24,1,0,-0.76904154,-0.7442002,-0.7632381777486463,0.0058033466,3.3678833e-05
25,1,0,-0.75694084,-0.7324171,-0.8502505588331308,0.0933097,0.0087067
26,1,0,-0.8445587,-0.8179641,-1.0114841047365832,0.16692543,0.027864099
27,1,0,-1.0063286,-0.9773798,-1.0955107516537836,0.08918214,0.007953454
28,1,0,-1.0902925,-1.0609088,-1.1809751429041384,0.090682745,0.00822336
29,1,0,-1.1754231,-1.1461778,-1.389622168657331,0.21419907,0.04588124
30,1,0,-1.381979,-1.3556175,-1.3591377675475789,0.022841215,0.0005217211
31,1,0,-1.3519206,-1.3249078,-1.2387709523411443,0.11314964,0.012802842
32,1,0,-1.2328281,-1.2040157,-1.224505145447651,0.008322954,6.927157e-05
33,1,1,-1.2186718,-1.1897264,1.0727445877979518,2.2914164,5.2505894
34,1,1,1.1015778,0.98187876,-0.6329836528596928,1.7345614,3.0087035
