,state0,label0,pred0,predbase0,target0,mae0,mse0,state1,label1,pred1,predbase1,target1,mae1,mse1,state2,label2,pred2,predbase2,target2,mae2,mse2,mae,mse,statebase0,statebase1,statebase2
0,1,0,0.6824024,0.25112295,0.7512285610849037,0.0688261887246741,0.0047370442543644,1,0,1.0399256,0.9542694,1.0221112990103398,0.0178142762460078,0.000317348438169,1,0,-0.8730078,-0.8458581,-0.843590152111414,0.0294176222416133,0.0008653964983502,0.0386860290707651,0.0019732630636279,1.0,1.0,1.0
1,1,0,0.7625487,0.42468095,0.6850701482079882,0.0774785368658643,0.0060029236748751,1,0,1.0463371,0.96055794,0.8858824394757807,0.1604546882097661,0.0257457069684932,1,0,-0.83785915,-0.8114033,-0.8249435664875593,0.0129155872599993,0.0001668123942706,0.0836162707785432,0.0106384810125463,1.0,1.0,1.0
2,1,0,0.69752336,0.28085446,0.7337476020341369,0.0362242465501281,0.0013121960381244,1,0,0.9089289,0.8259845,0.836159834277713,0.0727690368770721,0.0052953327280166,1,0,-0.819098,-0.7930484,-0.8971898691671552,0.0780918734090985,0.0060983406925426,0.0623617189454329,0.0042352898195612,1.0,1.0,1.0
3,1,0,0.74541783,0.3841784,0.7636455789599492,0.0182277456317021,0.000332250710814,1,0,0.85860777,0.7767954,0.8521767073725766,0.0064310616398746,4.135855381586676e-05,1,0,-0.8917365,-0.8642545,-0.9657991604008432,0.0740626529850718,0.0054852765671871,0.0329071534188828,0.001952961943939,1.0,1.0,1.0
4,1,0,0.7746942,0.4545803,0.7949100101684352,0.0202158058379908,0.0004086788056793,1,0,0.8748269,0.792644,0.6943114857012178,0.1805154224103544,0.0325858177279887,1,0,-0.9605746,-0.9320922,-1.1111949599701774,0.1506203330475699,0.0226864847273608,0.1171171870986384,0.0185603270870096,1.0,1.0,1.0
5,1,0,0.8051908,0.5341246,0.7667106390766549,0.0384801625438284,0.0014807229093994,1,0,0.7146015,0.6362834,0.639596766890766,0.0750047498328667,0.0056257124974909,1,0,-1.105937,-1.0765343,-1.1386853944063793,0.0327483903170238,0.0010724570683561,0.0487444342312396,0.0027262974917488,1.0,1.0,1.0
6,1,0,0.7776897,0.46210647,0.6205522112722832,0.1571374840859931,0.0246921889048757,1,0,0.65888834,0.58201313,0.7528765525012391,0.0939882125049011,0.0088337840898664,1,0,-1.1333332,-1.1039462,-1.195078238254733,0.0617450320779751,0.0038124489863101,0.1042902428896231,0.0124461406603507,1.0,1.0,1.0
7,1,0,0.63362455,0.16406512,0.5815901297218136,0.0520344239586063,0.0027075812767039,1,0,0.7741356,0.6943307,0.7333804329940898,0.0407551566055195,0.0016609827899404,1,0,-1.1894431,-1.1602778,-1.2483052054340202,0.0588620940143425,0.0034647461117532,0.0505505581928228,0.0026111033927992,1.0,1.0,1.0
8,1,0,0.5948143,0.10386562,0.6904736093505828,0.0956593088134734,0.0091507033626714,1,0,0.7543292,0.67501116,0.9236073593531556,0.1692781547938295,0.0286550936904037,1,0,-1.2422853,-1.2135692,-1.254039140770674,0.0117538891532422,0.0001381539102267,0.0922304509201817,0.0126479836544339,1.0,1.0,1.0
9,1,0,0.7028539,0.2916553,0.8183614296489394,0.1155075115733779,0.013341985229874,1,0,0.9470501,0.86327887,0.9466994371335016,0.0003506574709906,1.229606619615318e-07,1,0,-1.2479696,-1.2193174,-1.1462234046721589,0.1017462227082122,0.0103522938353891,0.0725347972508602,0.0078981340086417,1.0,1.0,1.0
