,state,label,pred,predbase,target,mae,mse
0,1,0,0.10843754,0.1341567,0.032805032451094,0.075632505,0.005720276
1,1,0,0.038333416,0.07305479,0.1033970888005706,0.06506367,0.004233281
2,1,0,0.10867977,0.13436747,0.0684616583611612,0.040218115,0.0016174967
3,1,0,0.07386541,0.1040864,-0.1206901938315736,0.19455561,0.037851885
4,1,0,-0.11460209,-0.061971664,-0.1030202643399844,0.011581823,0.00013413862
5,1,0,-0.0970006,-0.046309948,0.0251554606835364,0.12215606,0.014922103
6,1,0,0.030711174,0.066380024,0.0644735871504931,0.03376241,0.0011399003
7,1,0,0.069890976,0.1006217,0.1185985022449553,0.04870753,0.0023724234
8,1,0,0.12382841,0.14750338,0.2806094747177683,0.15678108,0.024580305
9,1,0,0.2852478,0.28605604,0.3439825831552348,0.058734775,0.0034497736
10,1,0,0.34836578,0.33951855,0.4556456008072684,0.10727981,0.0115089575
11,1,0,0.4595213,0.4327035,0.5230038197353792,0.06348252,0.0040300307
12,1,0,0.52652884,0.4882846,0.6030819130493956,0.07655311,0.005860378
13,1,0,0.6061363,0.55374193,0.6735472996709193,0.067411005,0.0045442437
14,1,0,0.67757845,0.61597633,0.7787547353238145,0.10117626,0.010236636
15,1,0,0.7845974,0.7232137,0.6892037043091408,0.09539372,0.009099961
16,1,0,0.69350815,0.6319318,0.5771347781608025,0.11637336,0.013542759
17,1,0,0.58034897,0.53260565,0.4441796340869004,0.13616934,0.01854209
18,1,0,0.44811106,0.4231949,0.4284117643469889,0.019699305,0.00038806262
19,1,0,0.4324193,0.41009665,0.5553697445097523,0.122950435,0.015116809
20,1,0,0.558712,0.5148225,0.6776666870249359,0.11895466,0.014150211
21,1,0,0.68176985,0.6201744,0.8329951808216816,0.15122533,0.0228691
22,1,0,0.83974314,0.7785125,0.9997737963061706,0.16003066,0.025609814
23,1,0,1.0091362,0.9485593,1.118430324997048,0.109294176,0.011945217
24,1,0,1.1294589,1.069519,1.2879825372304436,0.15852368,0.025129756
25,1,0,1.3010316,1.2422547,1.220269525873877,0.08076203,0.006522505
26,1,0,1.2325678,1.1732907,1.3034710911234615,0.0709033,0.0050272783
27,1,0,1.3166804,1.2580252,1.2486800411158558,0.068000436,0.0046240594
28,1,0,1.2613025,1.2022285,1.15476650967533,0.10653591,0.011349901
29,1,0,1.1662669,1.1065483,1.1786282697684776,0.012361407,0.0001528044
30,1,0,1.1904263,1.1308637,1.03177142810583,0.15865493,0.025171386
31,1,0,1.0416017,0.9811821,1.0600129252590698,0.018411279,0.0003389752
32,1,0,1.0702443,1.0099716,1.0605271821326872,0.009717107,9.442217e-05
33,1,0,1.0707655,1.0104976,1.0981666523932798,0.027401209,0.00075082626
34,1,0,1.1089244,1.0488648,1.064821223378881,0.044103146,0.0019450875
35,1,0,1.075119,1.0148735,0.9034472151786456,0.17167181,0.02947121
36,1,0,0.91133404,0.85034466,0.9320397758923198,0.02070576,0.00042872847
37,1,0,0.94037485,0.8794985,1.13227790197997,0.191903,0.03682676
38,1,0,1.1434879,1.0836306,1.0989870867700304,0.044500828,0.0019803236
39,1,0,1.109755,1.0496998,1.2370001785577696,0.12724519,0.016191337
40,1,0,1.2494907,1.1903319,1.1092093963103915,0.14028132,0.019678848
41,1,0,1.1201148,1.0601201,1.1735113743460328,0.053396583,0.002851195
42,1,0,1.1852465,1.1256504,1.3205065521535255,0.1352601,0.018295296
43,1,0,1.3338871,1.2753701,1.194624618863581,0.13926244,0.019394027
44,1,0,1.2066188,1.1471643,1.2901872812060446,0.083568454,0.0069836862
45,1,0,1.3032594,1.2445011,1.3321797802447604,0.028920412,0.00083639025
46,1,0,1.3456755,1.2872529,1.3666191044009706,0.020943642,0.00043863614
47,1,0,1.3804369,1.3223038,1.3025471504424235,0.0778898,0.006066821
48,1,0,1.3157477,1.2570848,1.222553746034876,0.09319401,0.008685123
49,1,0,1.2348785,1.1756172,1.310760644443303,0.07588208,0.0057580895
50,1,0,1.3240447,1.2654476,1.4536216990969413,0.12957704,0.01679021
51,1,0,1.4681501,1.4108062,1.538709757521687,0.07055962,0.00497866
52,1,0,1.5537777,1.4972849,1.3773415858216929,0.17643607,0.031129686
53,1,0,1.3912554,1.3332148,1.425262573829731,0.03400719,0.0011564891
54,1,0,1.4395766,1.3819661,1.406918413314315,0.03265822,0.0010665593
55,1,0,1.4210849,1.363306,1.4149287498872694,0.006156087,3.7897407e-05
56,1,0,1.4291596,1.3714552,1.434218489612677,0.0050588846,2.5592313e-05
57,1,0,1.4486017,1.3910747,1.4371122840016337,0.011489391,0.00013200611
58,1,0,1.4515176,1.3940167,1.6095730132569672,0.15805542,0.024981517
59,1,0,1.6249642,1.5692387,1.5742771849448791,0.050687075,0.0025691795
60,1,0,1.5895219,1.5334067,1.5223245473735902,0.06719732,0.0045154803
61,1,0,1.5373006,1.4806376,1.66613913725132,0.12883854,0.016599368
